scenario,year,variable,value
SSP2,2082,displacement_beta,7.20117780436074
SSP2,2083,displacement_beta,7.21564977377356
SSP2,2084,displacement_beta,7.23597937646232
SSP2,2085,displacement_beta,7.25994820321736
SSP2,2086,displacement_beta,7.3025862059525
SSP2,2087,displacement_beta,7.31899396848764
SSP2,2088,displacement_beta,7.34355020229024
SSP2,2089,displacement_beta,7.37435375433634
SSP2,2090,displacement_beta,7.40901343737837
SSP2,2091,displacement_beta,7.44472750906572
SSP2,2092,displacement_beta,7.47323672230149
SSP2,2093,displacement_beta,7.50061374852678
SSP2,2094,displacement_beta,7.52987696293638
SSP2,2095,displacement_beta,7.55981574024439
SSP2,2096,displacement_beta,7.58726124139885
SSP2,2097,displacement_beta,7.61911021315324
SSP2,2098,displacement_beta,7.65151923324285
SSP2,2099,displacement_beta,7.68425367205502
SSP2,2100,displacement_beta,7.72008637064789
SSP3,2013,displacement_beta,3.87750808302193
SSP3,2014,displacement_beta,2.03629338591935
SSP3,2015,displacement_beta,3.07725176665343
SSP3,2016,displacement_beta,2.41632101570028
SSP3,2017,displacement_beta,3.93816276732082
SSP3,2018,displacement_beta,3.28611873795566
SSP3,2019,displacement_beta,2.76507983336584
SSP3,2020,displacement_beta,2.69968971567093
SSP3,2021,displacement_beta,2.55947672269394
SSP3,2022,displacement_beta,2.53952502835861
SSP3,2023,displacement_beta,2.58027361730864
SSP3,2024,displacement_beta,2.71701551952804
SSP3,2025,displacement_beta,2.94678312339402
SSP3,2026,displacement_beta,3.20906296770753
SSP3,2027,displacement_beta,3.27046769706243
SSP3,2028,displacement_beta,3.31718238691055
SSP3,2029,displacement_beta,3.3620052483033
SSP3,2030,displacement_beta,3.39616907903486
SSP3,2031,displacement_beta,3.46731328572863
SSP3,2032,displacement_beta,3.51323757766588
SSP3,2033,displacement_beta,3.566208199063
SSP3,2034,displacement_beta,3.58965581493955
SSP3,2035,displacement_beta,3.57377601575197
SSP3,2036,displacement_beta,3.57474777216128
SSP3,2037,displacement_beta,3.49642733082521
SSP3,2038,displacement_beta,3.44194381544777
SSP3,2039,displacement_beta,3.43123560683293
SSP3,2040,displacement_beta,3.45877742750766
SSP3,2041,displacement_beta,3.528171050365
SSP3,2042,displacement_beta,3.57002069610664
SSP3,2043,displacement_beta,3.62672809560746
SSP3,2044,displacement_beta,3.69022534060405
SSP3,2045,displacement_beta,3.75598377252869
SSP3,2046,displacement_beta,3.84919376493512
SSP3,2047,displacement_beta,3.90970685691162
SSP3,2048,displacement_beta,3.97633659405686
SSP3,2049,displacement_beta,4.04959071175839
SSP3,2050,displacement_beta,4.12791581367986
SSP3,2051,displacement_beta,4.24913032718919
SSP3,2052,displacement_beta,4.3198572897356
SSP3,2053,displacement_beta,4.4017627858842
SSP3,2054,displacement_beta,4.50469526686128
SSP3,2055,displacement_beta,4.62808543451361
SSP3,2056,displacement_beta,4.79979030553038
SSP3,2057,displacement_beta,4.93706369909821
SSP3,2058,displacement_beta,5.08791257157566
SSP3,2059,displacement_beta,5.24590586099772
SSP3,2060,displacement_beta,5.40939230779503
SSP3,2061,displacement_beta,5.65771873653088
SSP3,2062,displacement_beta,5.88164327555594
SSP3,2063,displacement_beta,6.12385749772188
SSP3,2064,displacement_beta,6.36801741859461
SSP3,2065,displacement_beta,6.55481900964944
SSP3,2066,displacement_beta,6.65742640828155
SSP3,2067,displacement_beta,6.76448150154244
SSP3,2068,displacement_beta,6.86667981290111
SSP3,2069,displacement_beta,6.96947386033409
SSP3,2070,displacement_beta,7.06890023896744
SSP3,2071,displacement_beta,7.17049074429828
SSP3,2072,displacement_beta,7.27021258139518
SSP3,2073,displacement_beta,7.36938769841181
SSP3,2074,displacement_beta,7.47095255410039
SSP3,2075,displacement_beta,7.57293961465665
SSP3,2076,displacement_beta,7.69686952680101
SSP3,2077,displacement_beta,7.82110048558107
SSP3,2078,displacement_beta,7.96109139005411
SSP3,2079,displacement_beta,8.1336236027571
SSP3,2080,displacement_beta,8.32865223360204
SSP3,2081,displacement_beta,8.54026108336603
SSP3,2082,displacement_beta,8.7369568141078
SSP3,2083,displacement_beta,8.91768742693543
SSP3,2084,displacement_beta,9.11125781553481
SSP3,2085,displacement_beta,9.33998849181144
SSP3,2086,displacement_beta,9.57441038278836
SSP3,2087,displacement_beta,9.78232852912062
SSP3,2088,displacement_beta,9.97548933777228
SSP3,2089,displacement_beta,10.1712357384114
SSP3,2090,displacement_beta,10.3687128856685
SSP3,2091,displacement_beta,10.591697017092
SSP3,2092,displacement_beta,10.8046786216199
SSP3,2093,displacement_beta,10.9508845871959
SSP3,2094,displacement_beta,11.012378842829
SSP3,2095,displacement_beta,10.9644174118389
SSP3,2096,displacement_beta,10.9424770088986
SSP3,2097,displacement_beta,10.9593120785948
SSP3,2098,displacement_beta,11.0033579190328
SSP3,2099,displacement_beta,11.0853447709946
SSP3,2100,displacement_beta,11.176021654249
SSP5,2013,displacement_beta,3.86778781318441
SSP5,2014,displacement_beta,1.99141577538956
SSP5,2015,displacement_beta,3.04141311406359
SSP5,2016,displacement_beta,2.42658162690189
SSP5,2017,displacement_beta,3.9347673705863
SSP5,2018,displacement_beta,3.25085773859525
SSP5,2019,displacement_beta,2.7721496322427
SSP5,2020,displacement_beta,2.71854344290531
SSP5,2021,displacement_beta,2.91762486106411
SSP5,2022,displacement_beta,2.93021446023512
SSP5,2023,displacement_beta,2.97228599967616
SSP5,2024,displacement_beta,3.04203341702933
SSP5,2025,displacement_beta,3.15077219009223
SSP5,2026,displacement_beta,3.40208623076138
SSP5,2027,displacement_beta,3.47342345704409
SSP5,2028,displacement_beta,3.51705987722879
SSP5,2029,displacement_beta,3.56316996286558
SSP5,2030,displacement_beta,3.61464788879519
SSP5,2031,displacement_beta,3.74627238668436
SSP5,2032,displacement_beta,3.9459723704242
